,Data,Time,Home,Score,Away,Venue,Season
15,Fri 14 Sep,19:45,Bath Rugby,14-18,Northampton Saints,Recreation Ground,2012-2013
16,Sat 15 Sep,13:30,Worcester Warriors,16-16,Gloucester Rugby,Sixways,2012-2013
17,Sat 15 Sep,15:00,Harlequins,37-14,Sale Sharks,Twickenham Stoop,2012-2013
18,Sat 15 Sep,15:00,London Wasps,43-14,London Irish,Adams Park,2012-2013
19,Sat 15 Sep,15:30,Saracens,9-9,Leicester Tigers,Wembley Stadium,2012-2013
20,Sun 16 Sep,15:00,London Welsh,25-24,Exeter Chiefs,Kassam Stadium,2012-2013
22,Fri 21 Sep,20:00,Sale Sharks,19-29,London Welsh,AJ Bell Stadium,2012-2013
23,Sat 22 Sep,15:00,London Irish,29-22,Bath Rugby,Madejski Stadium,2012-2013
24,Sat 22 Sep,15:00,Northampton Saints,37-31,Worcester Warriors,Franklin's Gardens,2012-2013
25,Sat 22 Sep,15:15,Gloucester Rugby,29-22,London Wasps,Kingsholm,2012-2013
26,Sat 22 Sep,17:30,Leicester Tigers,9-22,Harlequins,Welford Road,2012-2013
27,Sun 23 Sep,14:15,Exeter Chiefs,14-12,Saracens,Sandy Park,2012-2013
29,Fri 28 Sep,19:45,Northampton Saints,24-6,London Wasps,Franklin's Gardens,2012-2013
30,Fri 28 Sep,20:30,Worcester Warriors,35-11,London Irish,Sixways,2012-2013
31,Sat 29 Sep,14:15,Bath Rugby,31-10,Sale Sharks,Recreation Ground,2012-2013
32,Sat 29 Sep,14:15,Leicester Tigers,30-8,Exeter Chiefs,Welford Road,2012-2013
33,Sun 30 Sep,14:00,Harlequins,16-18,Saracens,Twickenham Stoop,2012-2013
34,Sun 30 Sep,15:00,London Welsh,25-31,Gloucester Rugby,Kassam Stadium,2012-2013
36,Fri 5 Oct,20:00,Sale Sharks,8-20,Leicester Tigers,AJ Bell Stadium,2012-2013
37,Sat 6 Oct,14:15,Gloucester Rugby,16-10,Bath Rugby,Kingsholm,2012-2013
38,Sat 6 Oct,15:00,Exeter Chiefs,42-28,Harlequins,Sandy Park,2012-2013
39,Sat 6 Oct,15:00,London Irish,39-17,Northampton Saints,Madejski Stadium,2012-2013
40,Sun 7 Oct,14:15,London Welsh,23-28,Saracens,Kassam Stadium,2012-2013
41,Sun 7 Oct,15:00,London Wasps,10-6,Worcester Warriors,Adams Park,2012-2013
43,Fri 26 Oct,20:00,Worcester Warriors,23-16,Sale Sharks,Sixways,2012-2013
44,Sat 27 Oct,14:30,Bath Rugby,23-15,Exeter Chiefs,Recreation Ground,2012-2013
45,Sat 27 Oct,15:00,Northampton Saints,6-16,Saracens,Franklin's Gardens,2012-2013
46,Sat 27 Oct,16:45,Gloucester Rugby,27-21,Leicester Tigers,Kingsholm,2012-2013
47,Sun 28 Oct,14:15,London Irish,28-31,Harlequins,Madejski Stadium,2012-2013
48,Sun 28 Oct,15:00,London Wasps,29-19,London Welsh,Adams Park,2012-2013
50,Fri 2 Nov,20:00,Sale Sharks,21-9,London Irish,AJ Bell Stadium,2012-2013
51,Sat 3 Nov,14:15,Leicester Tigers,16-12,Northampton Saints,Welford Road,2012-2013
52,Sat 3 Nov,15:00,Exeter Chiefs,33-9,Worcester Warriors,Sandy Park,2012-2013
53,Sat 3 Nov,17:15,Harlequins,28-25,Gloucester Rugby,Twickenham Stoop,2012-2013
54,Sun 4 Nov,14:00,Saracens,29-24,London Wasps,Vicarage Road,2012-2013
55,Sun 4 Nov,15:00,London Welsh,16-9,Bath Rugby,Kassam Stadium,2012-2013
57,Fri 23 Nov,19:45,Bath Rugby,21-18,Harlequins,Recreation Ground,2012-2013
58,Fri 23 Nov,20:00,Worcester Warriors,12-3,Saracens,Sixways,2012-2013
59,Sat 24 Nov,12:00,Gloucester Rugby,29-3,Sale Sharks,Kingsholm,2012-2013
60,Sat 24 Nov,13:00,Northampton Saints,23-16,London Welsh,Franklin's Gardens,2012-2013
61,Sun 25 Nov,14:30,London Wasps,14-12,Leicester Tigers,Adams Park,2012-2013
62,Sun 25 Nov,15:00,London Irish,23-27,Exeter Chiefs,Madejski Stadium,2012-2013
64,Fri 30 Nov,19:45,Harlequins,22-19,Worcester Warriors,Twickenham Stoop,2012-2013
65,Fri 30 Nov,19:45,Sale Sharks,16-27,Northampton Saints,AJ Bell Stadium,2012-2013
66,Sat 1 Dec,12:30,Leicester Tigers,17-12,Bath Rugby,Welford Road,2012-2013
67,Sat 1 Dec,13:00,London Welsh,15-9,London Irish,Kassam Stadium,2012-2013
68,Sat 1 Dec,17:30,Exeter Chiefs,30-23,London Wasps,Sandy Park,2012-2013
69,Sun 2 Dec,15:00,Saracens,28-23,Gloucester Rugby,Vicarage Road,2012-2013
71,Fri 21 Dec,20:00,Worcester Warriors,13-6,London Welsh,Sixways,2012-2013
72,Sat 22 Dec,13:15,Bath Rugby,0-22,Saracens,Recreation Ground,2012-2013
73,Sat 22 Dec,15:00,Gloucester Rugby,18-16,Exeter Chiefs,Kingsholm,2012-2013
74,Sat 22 Dec,15:00,London Irish,9-31,Leicester Tigers,Madejski Stadium,2012-2013
75,Sat 22 Dec,15:15,Northampton Saints,9-18,Harlequins,Franklin's Gardens,2012-2013
76,Sun 23 Dec,14:00,London Wasps,25-18,Sale Sharks,Adams Park,2012-2013
78,Fri 28 Dec,20:00,Sale Sharks,33-27,Worcester Warriors,AJ Bell Stadium,2012-2013
79,Sat 29 Dec,14:15,Harlequins,26-15,London Irish,Twickenham Stadium,2012-2013
80,Sat 29 Dec,15:00,Exeter Chiefs,12-12,Bath Rugby,Sandy Park,2012-2013
81,Sat 29 Dec,15:00,London Welsh,15-34,London Wasps,Kassam Stadium,2012-2013
82,Sat 29 Dec,17:00,Leicester Tigers,17-12,Gloucester Rugby,Welford Road,2012-2013
83,Sun 30 Dec,14:15,Saracens,17-16,Northampton Saints,stadiummk,2012-2013
85,Fri 4 Jan,20:00,Worcester Warriors,14-19,Leicester Tigers,Sixways,2012-2013
86,Sat 5 Jan,15:00,Exeter Chiefs,19-30,Northampton Saints,Sandy Park,2012-2013
87,Sat 5 Jan,15:00,Gloucester Rugby,12-18,London Irish,Kingsholm,2012-2013
88,Sun 6 Jan,15:00,London Wasps,29-15,Bath Rugby,Adams Park,2012-2013
89,Sun 6 Jan,15:00,London Welsh,26-31,Harlequins,Kassam Stadium,2012-2013
90,Sun 6 Jan,15:00,Saracens,32-12,Sale Sharks,Vicarage Road,2012-2013
92,Fri 8 Feb,19:45,Sale Sharks,21-16,Exeter Chiefs,AJ Bell Stadium,2012-2013
93,Sat 9 Feb,12:30,Northampton Saints,11-27,Gloucester Rugby,Franklin's Gardens,2012-2013
94,Sat 9 Feb,14:15,Bath Rugby,32-9,Worcester Warriors,Recreation Ground,2012-2013
95,Sat 9 Feb,15:00,Leicester Tigers,28-12,London Welsh,Welford Road,2012-2013
96,Sat 9 Feb,15:00,London Irish,29-16,Saracens,Madejski Stadium,2012-2013
97,Sat 9 Feb,20:00,Harlequins,16-17,London Wasps,Twickenham Stoop,2012-2013
99,Sat 16 Feb,14:15,Bath Rugby,40-16,London Irish,Recreation Ground,2012-2013
100,Sat 16 Feb,15:00,Saracens,31-11,Exeter Chiefs,Allianz Park,2012-2013
101,Sat 16 Feb,15:00,Worcester Warriors,18-27,Northampton Saints,Sixways,2012-2013
102,Sat 16 Feb,17:15,Harlequins,25-21,Leicester Tigers,Twickenham Stoop,2012-2013
103,Sun 17 Feb,13:00,London Wasps,33-29,Gloucester Rugby,Adams Park,2012-2013
104,Sun 17 Feb,15:00,London Welsh,25-26,Sale Sharks,Kassam Stadium,2012-2013
106,Fri 22 Feb,19:45,Gloucester Rugby,29-23,Worcester Warriors,Kingsholm,2012-2013
107,Fri 22 Feb,20:00,Sale Sharks,21-30,Harlequins,AJ Bell Stadium,2012-2013
108,Sat 23 Feb,15:00,Exeter Chiefs,47-16,London Welsh,Sandy Park,2012-2013
109,Sat 23 Feb,15:00,Northampton Saints,25-23,Bath Rugby,Franklin's Gardens,2012-2013
110,Sat 23 Feb,20:00,Leicester Tigers,27-32,Saracens,Welford Road,2012-2013
111,Sun 24 Feb,12:05,London Irish,30-19,London Wasps,Madejski Stadium,2012-2013
113,Fri 1 Mar,20:00,Bath Rugby,31-25,Gloucester Rugby,Recreation Ground,2012-2013
114,Fri 1 Mar,20:00,Worcester Warriors,29-23,London Wasps,Sixways,2012-2013
115,Sat 2 Mar,15:00,Leicester Tigers,48-10,Sale Sharks,Welford Road,2012-2013
116,Sat 2 Mar,15:00,Northampton Saints,40-14,London Irish,Franklin's Gardens,2012-2013
117,Sat 2 Mar,15:15,Harlequins,16-27,Exeter Chiefs,Twickenham Stoop,2012-2013
118,Sun 3 Mar,14:15,Saracens,35-14,London Welsh,Allianz Park,2012-2013
120,Fri 22 Mar,20:00,Sale Sharks,14-13,Bath Rugby,AJ Bell Stadium,2012-2013
121,Sat 23 Mar,15:00,Gloucester Rugby,15-14,London Welsh,Kingsholm,2012-2013
122,Sat 23 Mar,15:00,London Irish,26-6,Worcester Warriors,Madejski Stadium,2012-2013
123,Sat 23 Mar,15:15,London Wasps,24-26,Northampton Saints,Adams Park,2012-2013
124,Sat 23 Mar,17:00,Exeter Chiefs,9-12,Leicester Tigers,Sandy Park,2012-2013
125,Sun 24 Mar,14:00,Saracens,27-12,Harlequins,Allianz Park,2012-2013
127,Fri 29 Mar,19:45,Gloucester Rugby,17-15,Harlequins,Kingsholm,2012-2013
128,Sat 30 Mar,14:15,Bath Rugby,40-25,London Welsh,Recreation Ground,2012-2013
129,Sat 30 Mar,15:00,London Wasps,13-22,Saracens,Adams Park,2012-2013
130,Sat 30 Mar,15:00,Northampton Saints,8-36,Leicester Tigers,Franklin's Gardens,2012-2013
131,Sat 30 Mar,15:00,Worcester Warriors,18-24,Exeter Chiefs,Sixways,2012-2013
132,Sun 31 Mar,14:15,London Irish,33-33,Sale Sharks,Madejski Stadium,2012-2013
134,Fri 12 Apr,19:45,Sale Sharks,32-9,Gloucester Rugby,AJ Bell Stadium,2012-2013
135,Sat 13 Apr,14:15,Harlequins,23-9,Bath Rugby,Twickenham Stoop,2012-2013
136,Sat 13 Apr,15:00,Exeter Chiefs,27-6,London Irish,Sandy Park,2012-2013
137,Sun 14 Apr,15:00,London Welsh,14-31,Northampton Saints,Kassam Stadium,2012-2013
138,Sun 14 Apr,15:00,Saracens,47-17,Worcester Warriors,Allianz Park,2012-2013
139,Sun 14 Apr,15:45,Leicester Tigers,35-16,London Wasps,Welford Road,2012-2013
141,Sat 20 Apr,14:15,Bath Rugby,27-26,Leicester Tigers,Recreation Ground,2012-2013
142,Sat 20 Apr,15:00,Gloucester Rugby,28-23,Saracens,Kingsholm,2012-2013
143,Sat 20 Apr,15:00,London Irish,47-28,London Welsh,Madejski Stadium,2012-2013
144,Sat 20 Apr,15:00,Worcester Warriors,26-42,Harlequins,Sixways,2012-2013
145,Sat 20 Apr,17:45,Northampton Saints,47-7,Sale Sharks,Franklin's Gardens,2012-2013
146,Sun 21 Apr,14:00,London Wasps,24-37,Exeter Chiefs,Adams Park,2012-2013
148,Sat 4 May,14:30,Exeter Chiefs,40-39,Gloucester Rugby,Sandy Park,2012-2013
149,Sat 4 May,14:30,Harlequins,22-19,Northampton Saints,Twickenham Stoop,2012-2013
150,Sat 4 May,14:30,Leicester Tigers,32-20,London Irish,Welford Road,2012-2013
151,Sat 4 May,14:30,London Welsh,33-22,Worcester Warriors,Kassam Stadium,2012-2013
152,Sat 4 May,14:30,Sale Sharks,21-20,London Wasps,AJ Bell Stadium,2012-2013
153,Sat 4 May,14:30,Saracens,23-14,Bath Rugby,Allianz Park,2012-2013
155,Sat 11 May,15:00,Leicester Tigers,33-16,Harlequins,Welford Road,2012-2013
156,Sun 12 May,15:00,Saracens,13-27,Northampton Saints,Allianz Park,2012-2013
158,Sat 25 May,15:00,Leicester Tigers,37-17,Northampton Saints,Twickenham Stadium,2012-2013
1,Fri 6 Sep,19:45,Newcastle Falcons,0-21,Bath Rugby,Kingston Park,2013-2014
2,Sat 7 Sep,14:00,London Irish,20-42,Saracens,Twickenham Stadium,2013-2014
3,Sat 7 Sep,15:00,Gloucester Rugby,16-22,Sale Sharks,Kingsholm,2013-2014
4,Sat 7 Sep,15:00,Northampton Saints,38-11,Exeter Chiefs,Franklin's Gardens,2013-2014
5,Sat 7 Sep,16:30,London Wasps,15-16,Harlequins,Twickenham Stadium,2013-2014
6,Sun 8 Sep,14:00,Leicester Tigers,32-15,Worcester Warriors,Welford Road,2013-2014
8,Fri 13 Sep,19:45,Harlequins,6-13,Northampton Saints,Twickenham Stoop,2013-2014
9,Fri 13 Sep,20:00,Sale Sharks,14-15,Newcastle Falcons,AJ Bell Stadium,2013-2014
10,Sat 14 Sep,15:00,Exeter Chiefs,30-26,London Wasps,Sandy Park,2013-2014
11,Sat 14 Sep,15:00,Worcester Warriors,18-20,London Irish,Sixways,2013-2014
12,Sat 14 Sep,15:15,Bath Rugby,27-20,Leicester Tigers,Recreation Ground,2013-2014
13,Sun 15 Sep,14:00,Saracens,44-12,Gloucester Rugby,Allianz Park,2013-2014
15,Fri 20 Sep,19:45,Worcester Warriors,13-37,Harlequins,Sixways,2013-2014
16,Fri 20 Sep,20:00,Sale Sharks,26-22,London Wasps,AJ Bell Stadium,2013-2014
17,Sat 21 Sep,15:00,Leicester Tigers,31-6,Newcastle Falcons,Welford Road,2013-2014
18,Sat 21 Sep,15:00,London Irish,23-29,Exeter Chiefs,Madejski Stadium,2013-2014
19,Sat 21 Sep,15:15,Gloucester Rugby,26-24,Northampton Saints,Kingsholm,2013-2014
20,Sun 22 Sep,14:00,Saracens,31-17,Bath Rugby,Allianz Park,2013-2014
22,Fri 27 Sep,19:45,Northampton Saints,33-14,Sale Sharks,Franklin's Gardens,2013-2014
23,Sat 28 Sep,15:00,Bath Rugby,33-18,London Irish,Recreation Ground,2013-2014
24,Sat 28 Sep,15:00,London Wasps,32-16,Worcester Warriors,Adams Park,2013-2014
25,Sat 28 Sep,15:15,Harlequins,12-22,Saracens,Twickenham Stoop,2013-2014
26,Sun 29 Sep,14:00,Exeter Chiefs,9-21,Leicester Tigers,Sandy Park,2013-2014
27,Sun 29 Sep,15:00,Newcastle Falcons,16-22,Gloucester Rugby,Kingston Park,2013-2014
29,Fri 4 Oct,19:45,Sale Sharks,19-13,Bath Rugby,AJ Bell Stadium,2013-2014
30,Sat 5 Oct,15:00,London Irish,18-13,Harlequins,Madejski Stadium,2013-2014
31,Sat 5 Oct,15:00,Saracens,19-12,London Wasps,Allianz Park,2013-2014
32,Sat 5 Oct,15:00,Worcester Warriors,11-16,Newcastle Falcons,Sixways,2013-2014
33,Sat 5 Oct,15:15,Leicester Tigers,19-19,Northampton Saints,Welford Road,2013-2014
34,Sun 6 Oct,14:00,Gloucester Rugby,12-29,Exeter Chiefs,Kingsholm,2013-2014
36,Fri 25 Oct,19:45,Bath Rugby,15-13,Gloucester Rugby,Recreation Ground,2013-2014
37,Sat 26 Oct,15:00,Exeter Chiefs,40-6,Worcester Warriors,Sandy Park,2013-2014
38,Sat 26 Oct,15:00,Harlequins,24-3,Sale Sharks,Twickenham Stoop,2013-2014
39,Sat 26 Oct,15:15,Northampton Saints,41-20,Saracens,Franklin's Gardens,2013-2014
40,Sun 27 Oct,14:00,London Wasps,22-12,Leicester Tigers,Adams Park,2013-2014
41,Sun 27 Oct,15:00,Newcastle Falcons,13-11,London Irish,Kingston Park,2013-2014
43,Fri 1 Nov,19:45,Worcester Warriors,6-21,Bath Rugby,Sixways,2013-2014
44,Fri 1 Nov,20:00,Sale Sharks,16-18,Exeter Chiefs,AJ Bell Stadium,2013-2014
45,Sat 2 Nov,17:00,Gloucester Rugby,30-32,London Wasps,Kingsholm,2013-2014
46,Sat 2 Nov,17:30,Leicester Tigers,16-23,Harlequins,Welford Road,2013-2014
47,Sun 3 Nov,14:00,London Irish,14-19,Northampton Saints,Madejski Stadium,2013-2014
48,Sun 3 Nov,15:00,Saracens,40-3,Newcastle Falcons,Allianz Park,2013-2014
50,Fri 22 Nov,19:45,Sale Sharks,26-10,Worcester Warriors,AJ Bell Stadium,2013-2014
51,Sat 23 Nov,15:00,Exeter Chiefs,9-16,Saracens,Sandy Park,2013-2014
52,Sat 23 Nov,15:00,Harlequins,27-19,Gloucester Rugby,Twickenham Stoop,2013-2014
53,Sat 23 Nov,15:00,Leicester Tigers,20-11,London Irish,Welford Road,2013-2014
54,Sat 23 Nov,15:15,Northampton Saints,18-0,Newcastle Falcons,Franklin's Gardens,2013-2014
55,Sun 24 Nov,14:00,London Wasps,5-28,Bath Rugby,Adams Park,2013-2014
57,Fri 29 Nov,19:45,Gloucester Rugby,17-22,Leicester Tigers,Kingsholm,2013-2014
58,Sat 30 Nov,15:00,London Irish,12-19,London Wasps,Madejski Stadium,2013-2014
59,Sat 30 Nov,15:00,Saracens,24-19,Sale Sharks,Allianz Park,2013-2014
60,Sat 30 Nov,15:00,Worcester Warriors,10-33,Northampton Saints,Sixways,2013-2014
61,Sat 30 Nov,15:15,Bath Rugby,21-16,Exeter Chiefs,Recreation Ground,2013-2014
62,Sun 1 Dec,14:30,Newcastle Falcons,9-35,Harlequins,Kingston Park,2013-2014
64,Fri 20 Dec,19:45,Sale Sharks,15-3,London Irish,AJ Bell Stadium,2013-2014
65,Sat 21 Dec,15:00,Bath Rugby,14-3,Harlequins,Recreation Ground,2013-2014
66,Sat 21 Dec,15:00,Exeter Chiefs,16-3,Newcastle Falcons,Sandy Park,2013-2014
67,Sat 21 Dec,15:00,London Wasps,15-17,Northampton Saints,Adams Park,2013-2014
68,Sat 21 Dec,15:15,Saracens,49-10,Leicester Tigers,Allianz Park,2013-2014
69,Sun 22 Dec,14:00,Gloucester Rugby,12-6,Worcester Warriors,Kingsholm,2013-2014
71,Fri 27 Dec,19:45,Newcastle Falcons,12-17,London Wasps,Kingston Park,2013-2014
72,Sat 28 Dec,15:00,Leicester Tigers,30-23,Sale Sharks,Welford Road,2013-2014
73,Sat 28 Dec,15:00,Northampton Saints,43-25,Bath Rugby,Franklin's Gardens,2013-2014
74,Sat 28 Dec,15:00,Worcester Warriors,8-26,Saracens,Sixways,2013-2014
75,Sat 28 Dec,16:00,Harlequins,22-6,Exeter Chiefs,Twickenham Stadium,2013-2014
76,Sun 29 Dec,14:00,London Irish,19-22,Gloucester Rugby,Madejski Stadium,2013-2014
78,Fri 3 Jan,19:45,Newcastle Falcons,8-16,Sale Sharks,Kingston Park,2013-2014
79,Fri 3 Jan,19:45,Northampton Saints,23-9,Harlequins,Franklin's Gardens,2013-2014
80,Sat 4 Jan,15:00,London Irish,22-9,Worcester Warriors,Madejski Stadium,2013-2014
81,Sat 4 Jan,15:15,Gloucester Rugby,8-29,Saracens,Kingsholm,2013-2014
82,Sun 5 Jan,14:00,Leicester Tigers,27-27,Bath Rugby,Welford Road,2013-2014
83,Sun 5 Jan,15:00,London Wasps,19-16,Exeter Chiefs,Adams Park,2013-2014
85,Fri 7 Feb,19:45,Worcester Warriors,22-23,Leicester Tigers,Sixways,2013-2014
86,Fri 7 Feb,20:00,Sale Sharks,24-19,Gloucester Rugby,AJ Bell Stadium,2013-2014
87,Sat 8 Feb,15:00,Bath Rugby,24-6,Newcastle Falcons,Recreation Ground,2013-2014
88,Sat 8 Feb,15:00,Saracens,13-22,London Irish,Allianz Park,2013-2014
89,Sat 8 Feb,19:00,Exeter Chiefs,16-17,Northampton Saints,Sandy Park,2013-2014
90,Sun 9 Feb,13:00,Harlequins,11-10,London Wasps,Twickenham Stoop,2013-2014
92,Fri 14 Feb,19:45,Sale Sharks,10-15,Saracens,AJ Bell Stadium,2013-2014
93,Sat 15 Feb,15:00,Harlequins,18-14,Newcastle Falcons,Twickenham Stoop,2013-2014
94,Sat 15 Feb,15:00,London Wasps,20-23,London Irish,Adams Park,2013-2014
95,Sat 15 Feb,15:00,Northampton Saints,30-14,Worcester Warriors,Franklin's Gardens,2013-2014
96,Sat 15 Feb,15:15,Exeter Chiefs,23-27,Bath Rugby,Sandy Park,2013-2014
97,Sun 16 Feb,14:00,Leicester Tigers,11-8,Gloucester Rugby,Welford Road,2013-2014
99,Sat 22 Feb,14:00,Bath Rugby,32-25,London Wasps,Recreation Ground,2013-2014
100,Sat 22 Feb,14:00,Gloucester Rugby,25-20,Harlequins,Kingsholm,2013-2014
101,Sat 22 Feb,14:00,Worcester Warriors,12-24,Sale Sharks,Sixways,2013-2014
102,Sun 23 Feb,13:00,London Irish,15-20,Leicester Tigers,Madejski Stadium,2013-2014
103,Sun 23 Feb,15:00,Newcastle Falcons,16-22,Northampton Saints,Kingston Park,2013-2014
104,Sun 23 Feb,15:15,Saracens,23-10,Exeter Chiefs,Allianz Park,2013-2014
106,Fri 28 Feb,19:45,Bath Rugby,10-23,Saracens,Recreation Ground,2013-2014
107,Sat 1 Mar,15:00,Exeter Chiefs,18-0,London Irish,Sandy Park,2013-2014
108,Sat 1 Mar,15:00,Harlequins,21-20,Worcester Warriors,Twickenham Stoop,2013-2014
109,Sat 1 Mar,15:00,London Wasps,17-21,Sale Sharks,Adams Park,2013-2014
110,Sat 1 Mar,15:15,Northampton Saints,39-13,Gloucester Rugby,Franklin's Gardens,2013-2014
111,Sun 2 Mar,14:00,Newcastle Falcons,18-41,Leicester Tigers,Kingston Park,2013-2014
113,Fri 21 Mar,19:45,Worcester Warriors,11-13,London Wasps,Sixways,2013-2014
114,Sat 22 Mar,14:00,Sale Sharks,19-6,Northampton Saints,AJ Bell Stadium,2013-2014
115,Sat 22 Mar,15:00,Gloucester Rugby,40-33,Newcastle Falcons,Kingsholm,2013-2014
116,Sat 22 Mar,15:15,Saracens,39-17,Harlequins,Wembley Stadium,2013-2014
117,Sat 22 Mar,17:30,London Irish,23-44,Bath Rugby,Madejski Stadium,2013-2014
118,Sun 23 Mar,14:00,Leicester Tigers,45-15,Exeter Chiefs,Welford Road,2013-2014
120,Fri 28 Mar,19:45,Bath Rugby,11-12,Sale Sharks,Recreation Ground,2013-2014
121,Sat 29 Mar,15:00,Exeter Chiefs,13-14,Gloucester Rugby,Sandy Park,2013-2014
122,Sat 29 Mar,15:00,Harlequins,23-9,London Irish,Twickenham Stoop,2013-2014
123,Sat 29 Mar,15:00,London Wasps,20-32,Saracens,Adams Park,2013-2014
124,Sat 29 Mar,15:15,Northampton Saints,16-22,Leicester Tigers,Franklin's Gardens,2013-2014
125,Sun 30 Mar,14:00,Newcastle Falcons,12-17,Worcester Warriors,Kingston Park,2013-2014
127,Fri 11 Apr,19:45,Sale Sharks,12-27,Harlequins,AJ Bell Stadium,2013-2014
128,Sat 12 Apr,15:00,Leicester Tigers,27-15,London Wasps,Welford Road,2013-2014
129,Sat 12 Apr,15:00,Worcester Warriors,33-38,Exeter Chiefs,Sixways,2013-2014
130,Sat 12 Apr,15:15,Gloucester Rugby,17-18,Bath Rugby,Kingsholm,2013-2014
131,Sun 13 Apr,14:00,Saracens,28-24,Northampton Saints,Allianz Park,2013-2014
132,Sun 13 Apr,15:00,London Irish,40-12,Newcastle Falcons,Madejski Stadium,2013-2014
134,Fri 18 Apr,19:45,Harlequins,24-20,Leicester Tigers,Twickenham Stoop,2013-2014
135,Sat 19 Apr,15:00,Bath Rugby,32-20,Worcester Warriors,Recreation Ground,2013-2014
136,Sat 19 Apr,15:00,Exeter Chiefs,12-55,Sale Sharks,Sandy Park,2013-2014
137,Sat 19 Apr,15:15,London Wasps,38-30,Gloucester Rugby,Twickenham Stadium,2013-2014
138,Sun 20 Apr,14:00,Northampton Saints,36-21,London Irish,Franklin's Gardens,2013-2014
139,Sun 20 Apr,15:00,Newcastle Falcons,18-23,Saracens,Kingston Park,2013-2014
141,Fri 2 May,19:45,Bath Rugby,19-19,Northampton Saints,Recreation Ground,2013-2014
142,Sat 3 May,15:00,Gloucester Rugby,38-30,London Irish,Kingsholm,2013-2014
143,Sat 3 May,15:00,London Wasps,44-38,Newcastle Falcons,Adams Park,2013-2014
144,Sat 3 May,15:00,Saracens,44-20,Worcester Warriors,Allianz Park,2013-2014
145,Sat 3 May,15:15,Sale Sharks,22-42,Leicester Tigers,AJ Bell Stadium,2013-2014
146,Sun 4 May,14:00,Exeter Chiefs,29-30,Harlequins,Sandy Park,2013-2014
148,Sat 10 May,15:15,Harlequins,19-16,Bath Rugby,Twickenham Stoop,2013-2014
149,Sat 10 May,15:15,Leicester Tigers,31-27,Saracens,Welford Road,2013-2014
150,Sat 10 May,15:15,London Irish,22-20,Sale Sharks,Madejski Stadium,2013-2014
151,Sat 10 May,15:15,Newcastle Falcons,13-23,Exeter Chiefs,Kingston Park,2013-2014
152,Sat 10 May,15:15,Northampton Saints,74-13,London Wasps,Franklin's Gardens,2013-2014
153,Sat 10 May,15:15,Worcester Warriors,28-27,Gloucester Rugby,Sixways,2013-2014
155,Fri 16 May,19:45,Northampton Saints,21-20,Leicester Tigers,Franklin's Gardens,2013-2014
156,Sat 17 May,14:00,Saracens,31-17,Harlequins,Allianz Park,2013-2014
158,Sat 31 May,15:00,Saracens,20-24,Northampton Saints,Twickenham Stadium,2013-2014
1,Fri 5 Sep,19:45,Northampton Saints,53-6,Gloucester Rugby,Franklin's Gardens,2014-2015
2,Sat 6 Sep,14:00,Sale Sharks,20-29,Bath Rugby,AJ Bell Stadium,2014-2015
3,Sat 6 Sep,14:00,Saracens,34-28,Wasps,Twickenham Stadium,2014-2015
4,Sat 6 Sep,15:00,Leicester Tigers,36-17,Newcastle Falcons,Welford Road,2014-2015
5,Sat 6 Sep,16:30,London Irish,15-20,Harlequins,Twickenham Stadium,2014-2015
6,Sun 7 Sep,14:00,London Welsh,0-52,Exeter Chiefs,Kassam Stadium,2014-2015
8,Fri 12 Sep,19:45,Harlequins,0-39,Saracens,Twickenham Stoop,2014-2015
9,Sat 13 Sep,15:00,Bath Rugby,53-26,London Welsh,Recreation Ground,2014-2015
10,Sat 13 Sep,15:00,Gloucester Rugby,34-27,Sale Sharks,Kingsholm,2014-2015
11,Sat 13 Sep,15:15,Exeter Chiefs,20-24,Leicester Tigers,Sandy Park,2014-2015
12,Sun 14 Sep,14:00,Wasps,20-16,Northampton Saints,Adams Park,2014-2015
13,Sun 14 Sep,15:00,Newcastle Falcons,18-20,London Irish,Kingston Park,2014-2015
15,Fri 19 Sep,19:45,Gloucester Rugby,22-25,Exeter Chiefs,Kingsholm,2014-2015
16,Sat 20 Sep,14:00,Sale Sharks,46-8,London Welsh,AJ Bell Stadium,2014-2015
17,Sat 20 Sep,15:00,Harlequins,26-23,Wasps,Twickenham Stoop,2014-2015
18,Sat 20 Sep,15:00,London Irish,32-36,Saracens,Madejski Stadium,2014-2015
19,Sat 20 Sep,15:15,Bath Rugby,45-0,Leicester Tigers,Recreation Ground,2014-2015
20,Sun 21 Sep,14:00,Newcastle Falcons,10-35,Northampton Saints,Kingston Park,2014-2015
22,Fri 26 Sep,19:45,London Welsh,10-46,Gloucester Rugby,Kassam Stadium,2014-2015
23,Sat 27 Sep,15:00,Leicester Tigers,19-22,London Irish,Welford Road,2014-2015
24,Sat 27 Sep,15:00,Saracens,40-19,Sale Sharks,Allianz Park,2014-2015
25,Sat 27 Sep,15:15,Northampton Saints,31-24,Bath Rugby,Franklin's Gardens,2014-2015
26,Sun 28 Sep,14:00,Exeter Chiefs,36-13,Harlequins,Sandy Park,2014-2015
27,Sun 28 Sep,14:00,Wasps,35-18,Newcastle Falcons,Adams Park,2014-2015
29,Fri 3 Oct,19:45,Bath Rugby,21-11,Saracens,Recreation Ground,2014-2015
30,Sat 4 Oct,15:00,Harlequins,52-0,London Welsh,Twickenham Stoop,2014-2015
31,Sat 4 Oct,15:00,London Irish,12-19,Northampton Saints,Madejski Stadium,2014-2015
