Date,Bath Rugby,Bedford Blues,Bristol Rugby,Exeter Chiefs,Gloucester,Harlequins,Leeds Carnegie,Leicester Tigers,London Irish,London Scottish,London Welsh,Newcastle Falcons,Northampton Saints,Richmond,Rotherham Titans,Sale Sharks,Saracens,Wasps,West Hartlepool,Worcester Warriors
2004-01-08,,,,,,,,1519.9212220394684,1449.976589490922,,,1408.0630283070236,,,1142.5165738729536,,,1613.0298555983718,,
2004-02-12,1523.489987011249,,,,1571.7301508623318,1419.2754838204844,1379.6441130808594,,,,,,1544.9336549138718,,,1456.9162611508457,,,,
2004-02-19,,,,,1576.988493538772,,,,,,,1386.5368489091504,,,1138.6514221487707,,1346.3237754575287,,,
2004-02-26,1528.4723453312454,,,,,,,,1450.0303357213825,,,,1560.3626090225553,,1135.2875675663604,,1356.1739003386513,1632.918068258379,,
2004-03-25,,,,,,,,1541.5289293917222,1436.2198890325876,,,,,,,,,,,
2004-04-01,1547.7533593715673,,,,,1398.8847127356094,1387.4388182573318,,,,,,1563.7965922316946,,,1459.3070533181715,,1633.6321984762858,,
2004-04-08,1553.669624304261,,,,,,,,1425.7591807441024,,,1383.207389087909,,,1126.7886230211259,,1343.7223380542716,1640.0458467106164,,
2004-04-22,,,,,1580.636152499773,1406.2434740093,1387.1884763051223,1554.7956672568343,,,,,1565.7706899077045,,,,,,,
2004-04-29,,,,,,,,,,,,,,,,1459.7948949560516,,,,
2004-05-06,,,,,1591.4358236025837,1419.6069477535932,1376.9508306791627,1555.8334073888107,,,,1361.801030244365,,,,,1353.0077614410873,,,
2004-05-13,1542.4390552216337,,,,,,1362.8473316267916,,1417.3550193876115,,,,1580.3412141345048,,1115.14480777628,,,1618.381460988334,,
2004-05-20,,,,,,,,,,,,,,,,,,1625.705878800347,,
2004-06-03,1528.8005265949218,,,,,,,,,,,,,,,,,,,
2004-09-09,,,,,,,1353.9504160929866,,1425.7952190514359,,,,1580.1584709158365,,,1473.6842537038062,1389.6126797947925,,,1285.8913494030726
2004-09-16,1501.3951542395566,,,,1593.9901833745441,1396.412773825294,,1565.6512847812396,,,,,,,,,1395.1410684435316,1601.197057227394,,
2004-09-23,,,,,,,1342.7319939416755,,1410.1592873003378,,,1412.661669777673,1574.1973971988402,,,1499.8209195205395,,,,1271.5635928520785
2004-09-30,,,,,1613.918302569468,1375.914920451639,,1585.5226055617022,,,,,,,,1502.8647056635364,1371.5627360448855,1612.5769250973142,,
2004-10-07,1534.0965134589999,,,,,,1349.1414893453245,,1414.0472218394684,,,1398.802289400684,1550.861015987941,,,,,,,1280.7462426199093
2004-10-14,,,,,1605.1518795484524,,1355.5947526956022,1589.9744170175968,,,,,,,,1495.0007407433554,1379.1935050923182,1630.536841126292,,
2004-10-21,1526.580950134693,,,,,1352.2659427578965,,,1414.631010250366,,,1391.245611632778,1518.0589501851914,,,,,,,1268.6933149453087
2004-11-11,,,,,,,1387.9271476128326,1607.4155843884982,1419.1839048585616,,,,,,,1517.8588009828616,1372.2136437440422,1646.1089099132612,,
2004-11-18,1545.9470992982647,,,,1586.8340432575974,1359.3075789966206,,,,,,1394.7105627969854,1485.5273708050415,,,,,,,1258.845203490423
2004-11-25,,,,,,,1368.7045949118374,,1445.350098883791,,,,1463.5954790358317,,,1489.444196865367,1379.2702490949082,1655.638437251104,,
2004-12-02,1561.9486259500175,,,,1576.6503726640856,1388.0063752783053,,1621.0750569151091,,,,1398.6515758029484,,,,,,,,1301.201082941285
2004-12-30,,,,,,,1345.3313105415632,1622.9656733387371,1423.9213312399954,,,,,,,1494.5304089443796,1372.773396636323,1641.9423353417392,,
